event_time_utc,event_type,trade_id,symbol,source,timeframe,session,raw_direction,final_direction,candle_time,entry_price,sl_price,tp1_price,tp2_price,notional_usd,leverage,margin_usd,adx_value,lot,exit_reason,exit_price,pnl,balance_after
2026-09-08T13:46:21.726755+00:00,full_close,131,MANAUSDT,Supertrend+ADX,15m,,,long,2026-09-04 12:30:00,,,,,,,,,,,,,1054.0945
2026-09-08T13:46:23.123824+00:00,lot_close,168,GALAUSDT,Supertrend+ADX,15m,لندن,long,short,2026-09-08 10:00:00,,,,,,3.0,50.0,,lot_a,tp1,0.0018568252200873827,5.8366,1059.9311
2026-09-08T13:46:23.467332+00:00,sl_to_be,168,GALAUSDT,Supertrend+ADX,15m,لندن,long,short,2026-09-08 10:00:00,,0.001932,,,,,,,,,,,
2026-09-08T15:31:46.736269+00:00,open,170,MANAUSDT,Supertrend+ADX,15m,لندن,long,short,2026-09-08 15:15:00,0.0763,0.07767003759425169,0.0742449436086225,0.07218988721724497,300.0,3.0,100.0,21.161,,,,,1059.9311
2026-09-08T15:31:48.078635+00:00,lot_close,168,GALAUSDT,Supertrend+ADX,15m,لندن,long,short,2026-09-08 10:00:00,,,,,,3.0,50.0,,lot_b,sl,0.001932,-0.0,1059.9311
2026-09-08T15:31:48.469777+00:00,full_close,168,GALAUSDT,Supertrend+ADX,15m,لندن,long,short,2026-09-08 10:00:00,,,,,,,,,,,,,1059.9311
2026-09-08T15:31:48.906197+00:00,open,171,GALAUSDT,Supertrend+ADX,15m,لندن,long,short,2026-09-08 15:15:00,0.00193,0.0020018591312971146,0.0018222113030543284,0.0017144226061086565,300.0,3.0,100.0,20.306,,,,,1059.9311
2026-09-08T20:31:13.362468+00:00,open,172,VETUSDT,Supertrend+ADX,15m,نیویورک,long,short,2026-09-08 20:15:00,0.008061,0.008404891374055756,0.007545162938916367,0.007029325877832733,300.0,3.0,100.0,30.741,,,,,1059.9311
2026-09-09T03:16:00.050252+00:00,open,173,CRVUSDT,Supertrend+ADX,15m,آسیا,short,long,2026-09-09 03:00:00,0.3606,0.35454356611852456,0.36968465082221313,0.37876930164442624,300.0,3.0,100.0,17.82,,,,,1059.9311
2026-09-09T09:01:23.220194+00:00,lot_close,166,DOGEUSDT,Supertrend+ADX,15m,آسیا,long,short,2026-09-08 00:30:00,,,,,,3.0,50.0,,lot_b,sl,0.0914,-0.0,1059.9311
2026-09-09T09:01:23.637864+00:00,full_close,166,DOGEUSDT,Supertrend+ADX,15m,آسیا,long,short,2026-09-08 00:30:00,,,,,,,,,,,,,1059.9311
2026-09-09T10:01:19.289298+00:00,open,174,BTCUSDT,Supertrend+ADX,15m,لندن,short,long,2026-09-09 09:45:00,78952.01,78196.14472337817,80085.80791493274,81219.60582986548,300.0,3.0,100.0,33.909,,,,,1059.9311
2026-09-09T10:01:23.906004+00:00,open,175,DOGEUSDT,Supertrend+ADX,15m,لندن,short,long,2026-09-09 09:45:00,0.09011,0.08871661362461587,0.09220007956307619,0.09429015912615236,300.0,3.0,100.0,21.097,,,,,1059.9311
2026-09-09T15:31:13.382415+00:00,lot_close,174,BTCUSDT,Supertrend+ADX,15m,لندن,short,long,2026-09-09 09:45:00,,,,,,3.0,50.0,,lot_a,sl,78196.14472337817,-1.4361,1058.495
